tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,length,mark_count
3DD.003DE59D19,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,12/4/2021,METHR - Methow River,12/4/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,212,1
3DD.003DE59D29,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,12/2/2021,METHR - Methow River,12/2/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,327,1
3DD.003DE59D38,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,12/2/2021,METHR - Methow River,12/2/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,228,1
3DD.003DE59D54,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,12/3/2021,METHR - Methow River,12/3/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,177,1
3DD.003DE59D5C,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,12/2/2021,METHR - Methow River,12/2/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,225,1
3DD.003DE59D5F,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,12/3/2021,METHR - Methow River,12/3/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,234,1
3DD.003DE59D68,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,12/3/2021,METHR - Methow River,12/3/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,193,1
3DD.003DE59D70,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/12/2021,METHR - Methow River,11/12/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,233,1
3DD.003DE59FE9,CGS-2021-006-001.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,5/1/2021,METRWT - Upper Methow River Rotary Screw Trap,5/1/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,136,1
3DD.003DE59FF1,CGS-2021-006-001.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,4/30/2021,METRWT - Upper Methow River Rotary Screw Trap,4/30/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,141,1
3DD.003DE59FF8,CGS-2021-006-001.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,4/30/2021,METRWT - Upper Methow River Rotary Screw Trap,4/30/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,183,1
3DD.003DE5A01D,CGS-2021-006-001.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,5/1/2021,METRWT - Upper Methow River Rotary Screw Trap,5/1/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,159,1
3DD.003DE5A025,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,7/12/2021,METHR - Methow River,7/12/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,159,1
